octave: X11 DISPLAY environment variable not set
octave: disabling GUI features
**********ÉPOCA 100********************** 
 Train loss 0.01 | Test loss 27.10 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 5700********************** 
 Train loss 0.01 | Test loss 27.09 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 5800********************** 
 Train loss 0.01 | Test loss 27.09 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 5900********************** 
 Train loss 0.00 | Test loss 27.09 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6000********************** 
 Train loss 0.00 | Test loss 27.08 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6100********************** 
 Train loss 0.00 | Test loss 27.08 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6200********************** 
 Train loss 0.00 | Test loss 27.08 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6300********************** 
 Train loss 0.00 | Test loss 27.08 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6400********************** 
 Train loss 0.00 | Test loss 27.07 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6500********************** 
 Train loss 0.00 | Test loss 27.07 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6600********************** 
 Train loss 0.00 | Test loss 27.07 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6700********************** 
 Train loss 0.00 | Test loss 27.07 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6800********************** 
 Train loss 0.00 | Test loss 26.92 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 6900********************** 
 Train loss 0.00 | Test loss 26.92 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7000********************** 
 Train loss 0.00 | Test loss 26.92 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7100********************** 
 Train loss 0.00 | Test loss 26.93 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7200********************** 
 Train loss 0.00 | Test loss 26.93 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7300********************** 
 Train loss 0.00 | Test loss 26.93 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7400********************** 
 Train loss 0.00 | Test loss 26.93 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7500********************** 
 Train loss 0.00 | Test loss 26.93 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7600********************** 
 Train loss 0.00 | Test loss 26.90 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7700********************** 
 Train loss 0.00 | Test loss 26.90 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7800********************** 
 Train loss 0.00 | Test loss 26.90 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 7900********************** 
 Train loss 0.00 | Test loss 26.90 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8000********************** 
 Train loss 0.00 | Test loss 26.90 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8100********************** 
 Train loss 0.00 | Test loss 26.90 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8200********************** 
 Train loss 0.00 | Test loss 26.90 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8300********************** 
 Train loss 0.00 | Test loss 26.90 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8400********************** 
 Train loss 0.00 | Test loss 26.91 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8500********************** 
 Train loss 0.00 | Test loss 26.91 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8600********************** 
 Train loss 0.00 | Test loss 26.75 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8700********************** 
 Train loss 0.00 | Test loss 26.75 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8800********************** 
 Train loss 0.00 | Test loss 26.75 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 8900********************** 
 Train loss 0.00 | Test loss 26.75 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9000********************** 
 Train loss 0.00 | Test loss 26.75 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9100********************** 
 Train loss 0.00 | Test loss 26.75 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9200********************** 
 Train loss 0.00 | Test loss 26.79 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9300********************** 
 Train loss 0.00 | Test loss 26.79 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9400********************** 
 Train loss 0.00 | Test loss 26.79 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9500********************** 
 Train loss 0.00 | Test loss 26.94 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9600********************** 
 Train loss 0.00 | Test loss 26.94 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9700********************** 
 Train loss 0.00 | Test loss 26.94 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9800********************** 
 Train loss 0.00 | Test loss 26.94 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 9900********************** 
 Train loss 0.00 | Test loss 26.91 | Train acc 1.00 | Test acc 0.75
**********ÉPOCA 10000********************** 
 Train loss 0.00 | Test loss 26.91 | Train acc 1.00 | Test acc 0.75
------ Classification Report -------------------------------- 
F1 macro average: 0.91 | Precision average:  0.92 | Recall average: 0.93 
