
*********************************

Época 30100| Train Loss 0.0| Train ACC 1.0| Test loss 21.985699897888175| Test Acc 0.8185

*********************************

Época 30200| Train Loss 0.0| Train ACC 1.0| Test loss 21.986427631609462| Test Acc 0.818

*********************************

Época 30300| Train Loss 0.0| Train ACC 1.0| Test loss 21.986427631609462| Test Acc 0.818

*********************************

Época 30400| Train Loss 0.0| Train ACC 1.0| Test loss 21.986427631609462| Test Acc 0.818

*********************************

Época 30500| Train Loss 0.0| Train ACC 1.0| Test loss 21.986427631609462| Test Acc 0.818

*********************************

Época 30600| Train Loss 0.0| Train ACC 1.0| Test loss 21.799334852238037| Test Acc 0.8185

*********************************

Época 30700| Train Loss 0.0| Train ACC 1.0| Test loss 21.799334852238037| Test Acc 0.8185

*********************************

Época 30800| Train Loss 0.0| Train ACC 1.0| Test loss 21.974781000046395| Test Acc 0.8185

*********************************

Época 30900| Train Loss 0.0| Train ACC 1.0| Test loss 21.974781000046395| Test Acc 0.8185

*********************************

Época 31000| Train Loss 0.0| Train ACC 1.0| Test loss 21.97473549328865| Test Acc 0.819

*********************************

Época 31100| Train Loss 0.0| Train ACC 1.0| Test loss 21.974781000046395| Test Acc 0.8185

*********************************

Época 31200| Train Loss 0.0| Train ACC 1.0| Test loss 21.974781000046395| Test Acc 0.8185

*********************************

Época 31300| Train Loss 0.0| Train ACC 1.0| Test loss 21.974781000046395| Test Acc 0.8185

*********************************

Época 31400| Train Loss 0.0| Train ACC 1.0| Test loss 21.9748265067099| Test Acc 0.818

*********************************

Época 31500| Train Loss 0.0| Train ACC 1.0| Test loss 21.78763410744728| Test Acc 0.8185

*********************************

Época 31600| Train Loss 0.0| Train ACC 1.0| Test loss 21.78763410744728| Test Acc 0.8185

*********************************

Época 31700| Train Loss 0.0| Train ACC 1.0| Test loss 21.78763410744728| Test Acc 0.8185

*********************************

Época 31800| Train Loss 0.0| Train ACC 1.0| Test loss 21.78763410744728| Test Acc 0.8185

*********************************

Época 31900| Train Loss 0.0| Train ACC 1.0| Test loss 21.78763410744728| Test Acc 0.8185

*********************************

Época 32000| Train Loss 0.0| Train ACC 1.0| Test loss 21.775881153239244| Test Acc 0.819

*********************************

Época 32100| Train Loss 0.0| Train ACC 1.0| Test loss 21.775881153239244| Test Acc 0.819

*********************************

Época 32200| Train Loss 0.0| Train ACC 1.0| Test loss 21.772987851923308| Test Acc 0.819

*********************************

Época 32300| Train Loss 0.0| Train ACC 1.0| Test loss 21.772987851923308| Test Acc 0.819

*********************************

Época 32400| Train Loss 0.0| Train ACC 1.0| Test loss 21.772804137271798| Test Acc 0.8195

*********************************

Época 32500| Train Loss 0.0| Train ACC 1.0| Test loss 21.772804137271798| Test Acc 0.8195

*********************************

Época 32600| Train Loss 0.0| Train ACC 1.0| Test loss 21.772804137271798| Test Acc 0.8195

*********************************

Época 32700| Train Loss 0.0| Train ACC 1.0| Test loss 21.772987851923308| Test Acc 0.819

*********************************

Época 32800| Train Loss 0.0| Train ACC 1.0| Test loss 21.772987851923308| Test Acc 0.819

*********************************

Época 32900| Train Loss 0.0| Train ACC 1.0| Test loss 21.772987851923308| Test Acc 0.819

*********************************

Época 33000| Train Loss 0.0| Train ACC 1.0| Test loss 21.772987851923308| Test Acc 0.819

*********************************

Época 33100| Train Loss 0.0| Train ACC 1.0| Test loss 21.772987851923308| Test Acc 0.819

*********************************

Época 33200| Train Loss 0.0| Train ACC 1.0| Test loss 21.772987851923308| Test Acc 0.819

*********************************

Época 33300| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 33400| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 33500| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 33600| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 33700| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 33800| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 33900| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 34000| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 34100| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 34200| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 34300| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 34400| Train Loss 0.0| Train ACC 1.0| Test loss 21.819933547103208| Test Acc 0.8185

*********************************

Época 34500| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 34600| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 34700| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 34800| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 34900| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 35000| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 35100| Train Loss 0.0| Train ACC 1.0| Test loss 21.77295340554423| Test Acc 0.819

*********************************

Época 35200| Train Loss 0.0| Train ACC 1.0| Test loss 21.772769690602065| Test Acc 0.8195

*********************************

Época 35300| Train Loss 0.0| Train ACC 1.0| Test loss 21.772769690602065| Test Acc 0.8195

*********************************

Época 35400| Train Loss 0.0| Train ACC 1.0| Test loss 21.772769690602065| Test Acc 0.8195

*********************************

Época 35500| Train Loss 0.0| Train ACC 1.0| Test loss 21.772769690602065| Test Acc 0.8195

*********************************

Época 35600| Train Loss 0.0| Train ACC 1.0| Test loss 21.772769690602065| Test Acc 0.8195

*********************************

Época 35700| Train Loss 0.0| Train ACC 1.0| Test loss 21.761008708237767| Test Acc 0.82

*********************************

Época 35800| Train Loss 0.0| Train ACC 1.0| Test loss 21.761008708237767| Test Acc 0.82

*********************************

Época 35900| Train Loss 0.0| Train ACC 1.0| Test loss 21.769830040677856| Test Acc 0.82

*********************************

Época 36000| Train Loss 0.0| Train ACC 1.0| Test loss 21.769830040677856| Test Acc 0.82

*********************************

Época 36100| Train Loss 0.0| Train ACC 1.0| Test loss 21.769830040677856| Test Acc 0.82

*********************************

Época 36200| Train Loss 0.0| Train ACC 1.0| Test loss 21.772769690602065| Test Acc 0.8195

*********************************

Época 36300| Train Loss 0.0| Train ACC 1.0| Test loss 21.772769690602065| Test Acc 0.8195

*********************************

Época 36400| Train Loss 0.0| Train ACC 1.0| Test loss 21.772769690602065| Test Acc 0.8195

*********************************

Época 36500| Train Loss 0.0| Train ACC 1.0| Test loss 21.772723761624313| Test Acc 0.82

*********************************

Época 36600| Train Loss 0.0| Train ACC 1.0| Test loss 21.772723761624313| Test Acc 0.82

*********************************

Época 36700| Train Loss 0.0| Train ACC 1.0| Test loss 21.775663020904783| Test Acc 0.8195

*********************************

Época 36800| Train Loss 0.0| Train ACC 1.0| Test loss 21.775846711436962| Test Acc 0.819

*********************************

Época 36900| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37000| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37100| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37200| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37300| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37400| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37500| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37600| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37700| Train Loss 0.0| Train ACC 1.0| Test loss 21.846269704459843| Test Acc 0.8195

*********************************

Época 37800| Train Loss 0.0| Train ACC 1.0| Test loss 22.03296394042345| Test Acc 0.819

*********************************

Época 37900| Train Loss 0.0| Train ACC 1.0| Test loss 22.03296394042345| Test Acc 0.819

*********************************

Época 38000| Train Loss 0.0| Train ACC 1.0| Test loss 22.03296394042345| Test Acc 0.819

*********************************

Época 38100| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 38200| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 38300| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 38400| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 38500| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 38600| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 38700| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 38800| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 38900| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 39000| Train Loss 0.0| Train ACC 1.0| Test loss 22.033145485835654| Test Acc 0.8185

*********************************

Época 39100| Train Loss 0.0| Train ACC 1.0| Test loss 21.986620931830338| Test Acc 0.819

*********************************

Época 39200| Train Loss 0.0| Train ACC 1.0| Test loss 21.986620931830338| Test Acc 0.819

*********************************

Época 39300| Train Loss 0.0| Train ACC 1.0| Test loss 21.986620931830338| Test Acc 0.819

*********************************

Época 39400| Train Loss 0.0| Train ACC 1.0| Test loss 21.986620931830338| Test Acc 0.819

*********************************

Época 39500| Train Loss 0.0| Train ACC 1.0| Test loss 21.986620931830338| Test Acc 0.819

*********************************

Época 39600| Train Loss 0.0| Train ACC 1.0| Test loss 21.986620931830338| Test Acc 0.819

*********************************

Época 39700| Train Loss 0.0| Train ACC 1.0| Test loss 21.986620931830338| Test Acc 0.819

*********************************

Época 39800| Train Loss 0.0| Train ACC 1.0| Test loss 21.93999772105731| Test Acc 0.8195

*********************************

Época 39900| Train Loss 0.0| Train ACC 1.0| Test loss 21.93999772105731| Test Acc 0.8195

*********************************

Época 40000| Train Loss 0.0| Train ACC 1.0| Test loss 21.93999772105731| Test Acc 0.8195

*********************************

Época 40100| Train Loss 0.0| Train ACC 1.0| Test loss 21.93999772105731| Test Acc 0.8195

*********************************

Época 40200| Train Loss 0.0| Train ACC 1.0| Test loss 21.93999772105731| Test Acc 0.8195

*********************************

Época 40300| Train Loss 0.0| Train ACC 1.0| Test loss 21.928326429529456| Test Acc 0.82

*********************************

Época 40400| Train Loss 0.0| Train ACC 1.0| Test loss 21.928326429529456| Test Acc 0.82

*********************************

Época 40500| Train Loss 0.0| Train ACC 1.0| Test loss 21.927961601571635| Test Acc 0.82

*********************************

Época 40600| Train Loss 0.0| Train ACC 1.0| Test loss 21.927961601571635| Test Acc 0.82

*********************************

Época 40700| Train Loss 0.0| Train ACC 1.0| Test loss 21.927961601571635| Test Acc 0.82

*********************************

Época 40800| Train Loss 0.0| Train ACC 1.0| Test loss 21.927961601571635| Test Acc 0.82

*********************************

Época 40900| Train Loss 0.0| Train ACC 1.0| Test loss 21.927961601571635| Test Acc 0.82

*********************************

Época 41000| Train Loss 0.0| Train ACC 1.0| Test loss 21.916272493286808| Test Acc 0.821

*********************************

Época 41100| Train Loss 0.0| Train ACC 1.0| Test loss 21.916272493286808| Test Acc 0.821

*********************************

