
Época 29400| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 29500| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 29600| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 29700| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 29800| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 29900| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30000| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30100| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30200| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30300| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30400| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30500| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30600| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30700| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30800| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 30900| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 31000| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 31100| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 31200| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 31300| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562069940499697| Test Acc 0.824

*********************************

Época 31400| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562424515109186| Test Acc 0.823

*********************************

Época 31500| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562424515109186| Test Acc 0.823

*********************************

Época 31600| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562424515109186| Test Acc 0.823

*********************************

Época 31700| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562424515109186| Test Acc 0.823

*********************************

Época 31800| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562424515109186| Test Acc 0.823

*********************************

Época 31900| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562424515109186| Test Acc 0.823

*********************************

Época 32000| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562424515109186| Test Acc 0.823

*********************************

Época 32100| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.562424515109186| Test Acc 0.823

*********************************

Época 32200| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 32300| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 32400| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 32500| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 32600| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 32700| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 32800| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 32900| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33000| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33100| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33200| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33300| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33400| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33500| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33600| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33700| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33800| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 33900| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653013044626093| Test Acc 0.822

*********************************

Época 34000| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.652990972496326| Test Acc 0.823

*********************************

Época 34100| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653344123991936| Test Acc 0.822

*********************************

Época 34200| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653344123991936| Test Acc 0.822

*********************************

Época 34300| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653344123991936| Test Acc 0.822

*********************************

Época 34400| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.653344123991936| Test Acc 0.822

*********************************

Época 34500| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.73794185936801| Test Acc 0.822

*********************************

Época 34600| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 34700| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 34800| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 34900| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 35000| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 35100| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 35200| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 35300| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 35400| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.37440502002232| Test Acc 0.824

*********************************

Época 35500| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.465751712328704| Test Acc 0.823

*********************************

Época 35600| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.465751712328704| Test Acc 0.823

*********************************

Época 35700| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.465751712328704| Test Acc 0.823

*********************************

